Station ID,Station name,Location,Zone,Latitude,Longitude,Type
DDDD5608,Dhamdhama Senior Secondary School,Beki,LowerAssam,26.5608,91.4804,ARG
DDDD1116,Teleria,Beki,LowerAssam,26.399,91.153,ARG
DDDD1111,GKB College,Beki,LowerAssam,26.574,90.9858,ARG
DDDD1115,Panbari High school,Beki,LowerAssam,26.5964,90.8303,ARG
DDDD1112,Tirap High School,Buridihing,UpperAssam,27.346,95.852,ARG
DDDD1113,Sologuri Aghunibari M. V. School,Buridihing,UpperAssam,27.3036,95.0599,ARG
DDDD1114,Tingrai Rajnikanta Barua Higher Secondary School,Buridihing,UpperAssam,27.4577,95.5817,ARG
FFFF1111,"Molung Bengali gaon,Makum Tea Garden", Tinsukia,LowerAssam,27.3014,94.4207,AWS
FFFF1112,"Water Resources Inspection Bunglow, Dibrugarh W.R Division, Near Tipling High School",Buridihing,LowerAssam,27.3339,95.3301,AWS
FFFF1113,Laipuli High School,Buridihing,LowerAssam,27.4523,95.2954,AWS
FFFF1114,Dikom Parbarti Devi Middle English School,Buridihing,LowerAssam,27.4614,95.0718,AWS
FFFF1115,Modhupur Block Development Office,Beki,LowerAssam,26.4485,91.3433,AWS
FFFF1116,Medhirtary High School,Beki,LowerAssam,26.3035,90.9547,AWS
FFFF1117,Dangri Gaon,Beki,LowerAssam,26.71,91.25,AWS
FFFF1118,"Adarsha Vidyalaya, Boro Bazar, Bhumkipara",Beki,LowerAssam,26.6028,90.6458,AWS
FFFF1119,No. 1 Santipur L P School,Jiadhal,CentralAssam,27.5485,94.4762,AWS
FFFF1110,Jairampur Higher Secondary School,Jiadhal,CentralAssam,27.513,94.436,AWS
FFFF3526,Rupjyoti Higher Secondary School,Jiadhal,CentralAssam,27.3526,94.4333,AWS
FFFF1121,Bordoibam Gram Panchayat office (Public Facilation Centre),Jiadhal,CentralAssam,27.3114,94.388,AWS
EEEE1111,R. Tingrai at Tingrai bridge,Buridihing,UpperAssam,27.36298611,95.21397778,AWLR
EEEE3330,Near Tipling ghat High School,Buridihing,UpperAssam,27.333,95.3248,AWLR
EEEE1112,R. Sessa at NH. 37 Bridge,Buridihing,UpperAssam,27.33854167,94.86287222,AWLR
EEEE1113,R. Gela-Disam at Aghunibari,Buridihing,UpperAssam,27.30301944,95.06503889,AWLR
EEEE1114,Irrigation Department Pump station,Buridihing,UpperAssam,27.3128,95.7354,AWLR
EEEE3846,Kumotiya Bridge,Jiadhal,CentralAssam,27.38455278,94.42111667,AWLR
EEEE1115,Cliff at Jiadhal Picnic Spot,Jiadhal,CentralAssam,27.5707,94.4488,AWLR
